,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
388,aleppo,0,SY,1604005626,59,36.25,37.5,66.69,7.54
389,mecca,0,SA,1604005626,62,21.43,39.83,77.31,4.05
390,bolotnoye,100,RU,1604005626,99,55.67,84.4,29.3,17.92
391,dudinka,92,RU,1604005627,92,69.41,86.18,7.92,9.35
392,borba,87,BR,1604005627,52,-4.39,-59.59,92.5,0.81
393,kilakarai,100,IN,1604005627,68,9.23,78.78,81.12,9.69
394,oistins,40,BB,1604005355,94,13.07,-59.53,77.0,28.86
395,koygorodok,98,RU,1604005593,95,60.45,51.0,33.71,7.09
396,sao jose da coroa grande,85,BR,1604005627,78,-8.9,-35.15,77.54,7.36
397,airai,61,TL,1604005501,95,-8.93,125.41,60.4,1.63
398,kirovskiy,97,RU,1604005627,94,45.09,133.51,32.99,7.16
399,jumla,0,NP,1604005627,53,29.27,82.18,43.66,4.99
400,alice springs,8,AU,1604005587,29,-23.7,133.88,66.2,8.05
401,saint-augustin,85,CA,1604005441,85,51.23,-58.65,34.38,11.54
402,avera,40,US,1604005627,74,33.19,-82.53,84.2,9.17
403,bubaque,1,GW,1604005605,75,11.28,-15.83,84.25,12.08
404,homer,75,US,1604005330,80,59.64,-151.55,33.01,10.29
405,sinnamary,58,GF,1604005446,77,5.38,-52.95,83.14,11.48
406,san patricio,20,US,1604005628,35,28.02,-97.52,73.4,21.92
407,tilichiki,0,RU,1604005628,94,60.47,166.1,23.58,3.65
408,stromness,100,GB,1604005628,93,58.97,-3.3,50.0,24.16
409,port blair,99,IN,1604005584,85,11.67,92.75,80.29,8.81
410,yangambi,100,CD,1604005628,99,0.81,24.43,69.46,1.14
411,dahuk,0,IQ,1604005628,26,36.87,42.99,64.54,3.47
412,sindi,20,IN,1604005388,77,20.8,78.87,68.0,3.49
413,jiaojiang,13,CN,1604005508,66,28.68,121.44,60.01,6.85
414,chuy,16,UY,1604005488,67,-33.7,-53.46,57.51,14.45
415,estelle,0,US,1604005628,49,29.85,-90.11,68.0,4.0
416,garowe,18,SO,1604005628,68,8.41,48.48,77.7,14.88
417,sur,0,OM,1604005628,56,22.57,59.53,71.13,2.91
418,tahoua,0,NE,1604005628,25,14.89,5.27,84.2,2.24
419,santa fe,0,AR,1604005628,30,-31.63,-60.7,70.0,5.01
420,olafsvik,99,IS,1604005579,82,64.89,-23.71,43.83,16.91
421,havre-saint-pierre,53,CA,1604005628,86,50.23,-63.6,31.48,16.8
422,maxixe,27,MZ,1604005629,91,-23.86,35.35,72.73,7.16
423,santo antonio do ica,99,BR,1604005629,72,-3.1,-67.94,87.06,2.64
424,iwanai,87,JP,1604005629,81,42.97,140.51,42.49,1.9
425,kropotkin,97,RU,1604005629,60,45.44,40.58,64.0,4.47
426,horconcitos,89,PA,1604005629,90,8.47,-81.8,73.15,3.15
427,mikhaylovka,100,RU,1604005629,59,50.06,43.24,50.0,1.99
428,chulman,100,RU,1604005629,94,56.85,124.91,11.73,1.54
429,port hawkesbury,100,CA,1604005577,77,45.62,-61.35,45.0,3.0
430,tiarei,20,PF,1604005629,78,-17.53,-149.33,82.4,11.41
431,palmer,90,US,1604005629,93,42.16,-72.33,46.4,5.82
432,bowen,90,AU,1604005455,93,-20.02,148.23,66.2,2.26
433,yarmouth,90,US,1604005629,100,41.71,-70.23,48.0,5.82
434,mitchell,1,US,1604005630,56,43.71,-98.03,42.8,10.29
435,falam,68,MM,1604005630,100,22.92,93.68,58.06,0.96
436,porto seguro,75,BR,1604005630,78,-16.45,-39.06,78.8,13.87
437,mbigou,98,GA,1604005630,95,-1.9,11.91,69.66,3.36
438,mangrol,97,IN,1604005630,64,21.12,70.12,78.73,8.16
439,popondetta,69,PG,1604005630,85,-8.75,148.25,76.21,2.82
440,northam,100,GB,1604005572,90,51.03,-4.22,59.0,8.01
441,abomey,78,BJ,1604005630,94,7.18,1.99,75.07,6.87
442,mahanoro,88,MG,1604005630,87,-19.9,48.8,72.07,11.18
443,sao joao da barra,20,BR,1604005630,78,-21.64,-41.05,80.6,14.99
444,nemuro,10,JP,1604005630,83,43.32,145.57,44.49,14.14
445,kangaba,93,ML,1604005489,21,11.93,-8.42,78.21,3.94
446,chicama,35,PE,1604005442,77,-7.84,-79.15,64.4,13.87
447,manuk mangkaw,47,PH,1604005631,77,4.8,119.85,82.45,8.59
448,koluszki,0,PL,1604005631,93,51.74,19.82,45.0,10.29
449,rocha,0,UY,1604005631,75,-34.48,-54.33,54.91,16.8
450,baykit,100,RU,1604005631,93,61.67,96.37,13.06,1.59
451,dwarka,0,IN,1604005631,58,22.24,68.97,79.9,7.4
452,sobolevo,100,RU,1604005631,86,54.43,31.9,45.68,8.3
453,ibipeba,100,BR,1604005482,74,-11.64,-42.01,76.46,7.07
454,frontera,0,MX,1604005631,21,26.93,-101.45,73.35,6.49
455,alofi,75,NU,1604005631,69,-19.06,-169.92,75.2,17.22
456,kuusamo,90,FI,1604005632,86,65.97,29.18,41.0,14.99
457,zhezkazgan,0,KZ,1604005632,76,47.8,67.71,33.91,4.52
458,presidencia roque saenz pena,33,AR,1604005403,26,-26.79,-60.44,75.0,7.0
459,batagay-alyta,100,RU,1604005632,93,67.8,130.41,5.11,2.19
460,simi,47,SL,1604005632,63,9.57,-12.35,76.26,1.86
461,vila,0,PT,1604005552,89,42.03,-8.16,53.01,3.0
462,kysyl-syr,4,RU,1604005632,90,63.9,122.76,-7.47,2.19
463,kiruna,14,SE,1604005632,100,67.86,20.23,19.4,2.24
464,tawang,0,IN,1604005632,58,27.58,91.87,43.48,6.42
465,charagua,75,BO,1604005632,44,-19.8,-63.22,77.0,5.82
466,jacksonville beach,75,US,1604005525,52,30.29,-81.39,90.0,21.92
467,vilyuysk,59,RU,1604005632,91,63.76,121.62,-8.72,2.62
468,nioki,83,CD,1604005541,88,-2.72,17.68,72.19,2.44
469,souillac,8,MU,1604005633,67,-20.52,57.52,69.01,7.0
470,porto santo,40,PT,1604005633,72,33.07,-16.34,68.0,11.41
471,cuyahoga falls,100,US,1604005634,95,41.13,-81.48,48.0,10.51
472,smolenka,81,RU,1604005634,92,52.14,113.5,19.4,4.47
473,saint-louis,96,SN,1604005634,12,16.33,-15.0,92.08,8.05
474,lagoa,100,PT,1604005634,88,39.05,-27.98,68.29,28.7
475,mus,0,TR,1604005634,47,39.0,41.75,49.21,3.13
476,taltal,22,CL,1604005470,56,-25.4,-70.48,63.39,5.21
477,amapa,91,BR,1604005634,39,1.0,-52.0,92.17,4.99
478,hokitika,100,NZ,1604005634,95,-42.72,170.97,57.07,6.64
479,talcahuano,0,CL,1604005392,59,-36.72,-73.12,66.2,18.34
480,saint-francois,90,FR,1604005635,100,46.42,3.91,54.0,3.36
481,portland,50,US,1604005610,71,45.52,-122.68,62.01,1.01
482,shestakovo,10,RU,1604005635,93,56.49,103.96,22.51,4.47
483,almaznyy,20,RU,1604005635,76,48.04,40.05,57.2,13.42
484,tevaitoa,0,PF,1604005558,74,-16.78,-151.5,81.14,10.49
485,topi,0,PK,1604005635,58,34.07,72.62,62.01,6.64
486,mitsamiouli,0,KM,1604005635,77,-11.38,43.28,78.66,4.72
487,la grande,1,US,1604005635,25,45.32,-118.09,68.0,13.87
488,oranjestad,40,AW,1604005635,70,12.52,-70.03,86.0,12.75
489,farap,0,TM,1604005635,60,39.17,63.61,39.2,2.24
490,youghal,90,IE,1604005635,100,51.95,-7.85,55.99,25.28
491,usinsk,100,RU,1604005576,96,65.99,57.53,35.82,14.54
492,chalus,0,IR,1604005635,93,36.66,51.42,59.0,5.93
493,costinesti,73,RO,1604005635,100,43.95,28.63,54.0,10.29
494,hovd,0,MN,1604005410,73,48.01,91.64,27.0,6.89
495,ust-ilimsk,69,RU,1604005635,91,58.0,102.66,25.12,6.2
496,lufilufi,40,WS,1604005636,79,-13.87,-171.6,84.2,4.7
497,port lincoln,63,AU,1604005557,79,-34.73,135.87,56.03,24.16
498,waipawa,95,NZ,1604005636,88,-41.41,175.52,62.6,20.8
499,sembe,88,CG,1604005636,95,1.65,14.58,68.95,1.34
500,general roca,0,AR,1604005461,20,-39.03,-67.58,73.4,13.87
501,encheng,98,CN,1604005636,89,22.18,112.3,68.31,5.64
502,ypsonas,0,CY,1604005636,68,34.69,32.96,69.8,3.36
503,jodhpur,0,IN,1604005637,21,26.29,73.03,72.48,6.4
504,pacific grove,1,US,1604005607,48,36.62,-121.92,77.0,5.82
505,raudeberg,32,NO,1604005637,87,61.99,5.14,46.0,9.57
506,portoferraio,75,IT,1604005637,93,42.81,10.31,59.0,4.0
507,otradnoye,90,RU,1604005637,93,59.78,30.82,50.0,2.24
508,clarence town,75,AU,1604005637,100,-32.58,151.78,57.99,5.82
509,kavieng,100,PG,1604005422,76,-2.57,150.8,81.34,5.28
510,rosetta,20,EG,1604005637,64,31.4,30.42,75.2,10.29
511,plettenberg bay,99,ZA,1604005431,70,-34.05,23.37,56.66,11.97
512,hurricane,0,US,1604005638,18,37.18,-113.29,73.0,3.91
513,basco,49,PH,1604005638,78,20.45,121.97,80.15,25.72
514,la tuque,92,CA,1604005638,92,47.43,-72.78,28.81,5.61
515,alenquer,0,BR,1604005638,63,-1.94,-54.74,91.4,14.99
516,athabasca,98,CA,1604005638,79,54.72,-113.29,37.02,3.38
517,asino,100,RU,1604005638,98,57.0,86.15,25.81,10.74
518,steamboat springs,1,US,1604005629,45,40.48,-106.83,46.4,4.36
519,antofagasta,20,CL,1604005416,55,-23.65,-70.4,64.4,11.41
520,sibu,40,MY,1604005460,94,2.3,111.82,77.0,1.88
521,beira,0,MZ,1604005638,84,-19.84,34.84,74.21,6.98
522,tomatlan,99,MX,1604005638,59,19.93,-105.25,87.64,7.61
523,fujin,14,CN,1604005639,96,47.26,132.03,30.52,6.93
524,byron bay,12,AU,1604005639,100,-28.65,153.62,64.99,2.51
525,male,100,MV,1604005639,77,4.17,73.51,81.72,10.69
526,nizhniy tsasuchey,100,RU,1604005639,89,50.52,115.13,30.58,5.21
527,adeje,40,ES,1604005639,73,28.12,-16.73,70.0,5.82
528,honningsvag,75,NO,1604005386,64,70.98,25.97,37.4,13.87
529,hefei,0,CN,1604005639,82,31.86,117.28,57.99,6.71
530,crieff,100,GB,1604005639,93,56.37,-3.84,55.99,1.99
531,san isidro,75,PE,1604005639,68,-12.12,-77.05,69.01,11.41
532,bolshaya dzhalga,98,RU,1604005639,87,45.97,42.7,55.92,13.91
533,ribeira brava,20,PT,1604005640,73,32.65,-17.07,69.8,11.41
534,yeniseysk,100,RU,1604005640,96,58.45,92.17,17.98,3.69
535,barpeta,0,IN,1604005640,73,26.32,91.0,69.85,5.61
536,binuangan,100,PH,1604005640,95,8.92,124.79,73.99,1.99
537,gornopravdinsk,100,RU,1604005640,92,60.05,69.9,37.11,10.36
538,show low,1,US,1604005640,29,34.25,-110.03,62.01,3.36
539,ocos,75,GT,1604005640,70,14.51,-92.19,87.8,6.4
540,votkinsk,77,RU,1604005640,90,57.05,53.99,28.99,7.9
541,ulagan,99,RU,1604005640,83,50.63,87.96,21.07,3.58
542,blagoveshchensk,0,RU,1604005449,85,50.27,127.53,21.2,5.97
543,richards bay,70,ZA,1604005641,76,-28.78,32.04,73.2,8.55
544,komsomolskiy,0,UZ,1604005376,51,40.43,71.72,39.2,4.7
545,san pedro del pinatar,0,ES,1604005641,100,37.84,-0.79,63.0,5.82
546,kawalu,76,ID,1604005641,92,-7.38,108.21,72.9,0.54
547,bull savanna,15,JM,1604005641,81,17.89,-77.59,80.2,6.49
548,okhotsk,100,RU,1604005641,97,59.38,143.3,27.18,8.81
549,moyale,91,KE,1604005641,85,3.52,39.06,68.13,2.66
550,japura,76,ID,1604005641,96,-0.32,102.35,73.63,1.99
551,edea,40,CM,1604005641,100,3.8,10.13,77.0,1.32
552,buala,100,SB,1604005641,81,-8.14,159.59,79.95,6.44
553,svetlyy,0,RU,1604005642,93,54.67,20.13,46.4,4.47
